hour,year,state,weekend,a_1,a_2,a_1_1,a_1_2,a_2_2
0.0,1983,1,False,3,4,2,2,1
0.0,1983,1,True,2,11,1,6,1
0.0,1983,4,False,4,5,0,2,3
0.0,1983,4,True,3,10,1,1,1
0.0,1983,5,False,2,1,2,2,0
0.0,1983,5,True,5,7,0,1,1
0.0,1983,8,False,2,7,2,1,0
0.0,1983,8,True,2,11,1,1,3
0.0,1983,9,False,5,11,1,2,0
0.0,1983,9,True,1,9,0,1,0
0.0,1983,13,False,7,16,2,5,3
0.0,1983,13,True,7,11,3,6,2
0.0,1983,16,False,1,3,0,1,0
0.0,1983,16,True,3,3,0,0,0
0.0,1983,17,False,6,30,3,7,1
0.0,1983,17,True,8,20,4,12,3
0.0,1983,18,False,6,12,2,3,0
0.0,1983,18,True,10,11,2,3,1
0.0,1983,19,False,3,6,1,3,2
0.0,1983,20,False,3,4,1,1,0
0.0,1983,20,True,5,4,0,2,2
0.0,1983,21,False,4,15,1,4,0
0.0,1983,21,True,2,15,0,2,1
0.0,1983,22,False,6,2,5,2,0
0.0,1983,22,True,5,4,3,2,0
0.0,1983,23,True,1,4,0,1,1
0.0,1983,24,False,5,5,0,2,0
0.0,1983,24,True,1,5,2,4,0
0.0,1983,25,False,12,12,3,3,0
0.0,1983,25,True,10,12,1,3,2
0.0,1983,26,False,5,19,3,3,2
0.0,1983,26,True,5,16,2,8,4
0.0,1983,27,True,1,5,0,1,3
0.0,1983,28,False,5,7,5,1,0
0.0,1983,28,True,9,1,3,1,0
0.0,1983,29,False,11,9,3,4,0
0.0,1983,29,True,10,10,4,7,1
0.0,1983,30,True,1,5,0,1,0
0.0,1983,32,False,2,3,0,0,0
0.0,1983,32,True,2,2,0,0,0
0.0,1983,33,False,1,5,0,1,0
0.0,1983,34,False,7,12,0,8,1
0.0,1983,34,True,2,15,4,8,1
0.0,1983,36,False,13,21,6,4,0
0.0,1983,36,True,8,14,8,4,3
0.0,1983,37,False,6,10,1,2,0
0.0,1983,37,True,4,13,2,4,2
0.0,1983,39,False,15,20,2,5,0
0.0,1983,39,True,8,21,1,7,1
0.0,1983,40,False,5,5,4,3,1
0.0,1983,40,True,4,7,0,9,1
0.0,1983,41,False,1,5,1,2,0
0.0,1983,41,True,1,10,0,3,0
0.0,1983,42,False,16,24,4,8,2
0.0,1983,42,True,12,19,4,10,2
0.0,1983,44,True,1,2,0,0,0
0.0,1983,45,False,6,9,5,2,1
0.0,1983,45,True,7,9,0,4,4
0.0,1983,47,False,4,22,2,3,0
0.0,1983,47,True,3,15,1,4,1
0.0,1983,49,True,3,2,2,0,0
0.0,1983,51,False,4,10,2,7,0
0.0,1983,51,True,3,15,0,2,2
0.0,1983,53,True,1,7,1,1,1
0.0,1983,54,False,2,7,0,3,0
0.0,1983,54,True,2,4,1,3,0
0.0,1983,55,False,1,14,0,1,3
0.0,1983,55,True,4,4,0,2,4
0.0,1983,56,False,1,2,0,1,0
0.0,1983,56,True,3,1,0,0,0
0.0,1984,1,False,2,8,2,3,1
0.0,1984,1,True,3,16,0,4,1
0.0,1984,5,True,2,2,2,1,0
0.0,1984,6,False,19,55,6,16,5
0.0,1984,6,True,17,56,7,20,3
0.0,1984,8,False,3,11,0,4,0
0.0,1984,8,True,2,9,0,2,2
0.0,1984,9,False,3,15,1,4,0
0.0,1984,9,True,3,7,3,3,1
0.0,1984,10,False,2,2,1,0,0
0.0,1984,10,True,3,1,0,1,0
0.0,1984,12,False,17,26,4,7,3
0.0,1984,12,True,17,22,7,9,9
0.0,1984,13,False,4,15,2,5,0
0.0,1984,13,True,8,16,1,7,2
0.0,1984,16,True,2,5,1,0,1
0.0,1984,17,False,6,22,2,7,2
0.0,1984,17,True,4,27,0,10,2
0.0,1984,18,False,5,5,1,4,0
0.0,1984,18,True,5,13,0,5,2
0.0,1984,19,False,1,6,0,2,2
0.0,1984,19,True,1,4,2,0,0
0.0,1984,20,False,1,7,0,1,0
0.0,1984,20,True,3,5,2,0,0
0.0,1984,21,False,2,6,1,0,0
0.0,1984,21,True,7,10,1,3,3
0.0,1984,22,False,9,6,3,2,0
0.0,1984,22,True,13,5,3,1,1
0.0,1984,23,False,1,11,0,0,0
0.0,1984,24,False,4,10,2,4,0
0.0,1984,24,True,4,5,1,2,2
0.0,1984,25,False,8,8,1,2,0
0.0,1984,25,True,7,8,2,3,0
0.0,1984,26,False,8,19,5,9,1
0.0,1984,26,True,4,18,0,13,3
0.0,1984,27,False,1,8,0,1,0
0.0,1984,27,True,1,12,0,5,1
0.0,1984,28,False,5,1,1,0,0
0.0,1984,29,False,5,13,1,4,2
0.0,1984,29,True,4,11,4,0,0
0.0,1984,31,True,2,1,0,1,1
0.0,1984,32,False,1,3,1,0,0
0.0,1984,32,True,3,2,0,0,0
0.0,1984,34,False,5,9,3,4,1
0.0,1984,34,True,3,11,3,3,1
0.0,1984,36,False,10,15,7,7,0
0.0,1984,36,True,15,10,4,7,1
0.0,1984,37,False,2,11,2,0,0
0.0,1984,37,True,6,18,1,5,2
0.0,1984,38,False,1,1,0,0,0
0.0,1984,38,True,1,1,0,1,0
0.0,1984,39,False,4,23,0,8,1
0.0,1984,39,True,5,29,6,11,1
0.0,1984,40,False,4,7,0,4,0
0.0,1984,40,True,8,9,0,1,2
0.0,1984,41,False,1,2,0,0,0
0.0,1984,41,True,1,6,1,2,0
0.0,1984,42,False,11,9,4,9,1
0.0,1984,42,True,20,18,2,8,3
0.0,1984,44,True,1,3,0,0,0
0.0,1984,45,False,4,5,0,2,0
0.0,1984,45,True,7,7,2,5,0
0.0,1984,47,False,5,13,3,5,4
0.0,1984,47,True,9,18,0,6,2
0.0,1984,49,True,1,2,0,1,0
0.0,1984,50,False,1,2,0,0,0
0.0,1984,51,False,7,16,0,1,0
0.0,1984,51,True,7,13,0,8,3
0.0,1984,53,False,1,12,1,4,0
0.0,1984,53,True,2,6,1,2,1
0.0,1984,54,False,3,7,0,1,1
0.0,1984,54,True,4,6,0,1,0
0.0,1984,55,True,2,10,1,5,3
0.0,1984,56,False,2,1,1,0,0
0.0,1984,56,True,1,1,1,1,0
0.0,1985,1,False,3,6,2,1,0
0.0,1985,1,True,4,11,0,1,1
0.0,1985,4,False,7,5,0,5,2
0.0,1985,4,True,4,7,0,1,1
0.0,1985,5,False,1,6,0,0,1
0.0,1985,5,True,2,2,0,0,5
0.0,1985,9,True,2,9,2,0,0
0.0,1985,11,False,1,1,0,0,0
0.0,1985,12,False,14,31,8,12,1
0.0,1985,12,True,12,16,2,8,6
0.0,1985,13,False,4,10,4,4,0
0.0,1985,13,True,7,14,5,6,2
0.0,1985,15,True,1,2,0,0,0
0.0,1985,16,False,2,3,1,1,0
0.0,1985,16,True,1,6,0,3,1
0.0,1985,17,False,4,18,2,5,4
0.0,1985,17,True,9,10,1,12,2
0.0,1985,18,False,6,10,1,6,0
0.0,1985,18,True,4,5,2,6,0
0.0,1985,19,False,1,11,0,1,0
0.0,1985,19,True,1,6,0,4,0
0.0,1985,20,False,3,1,1,3,0
0.0,1985,21,False,3,8,2,3,0
0.0,1985,21,True,2,12,0,3,0
0.0,1985,22,False,11,2,3,1,0
0.0,1985,22,True,10,8,3,4,0
0.0,1985,24,False,4,1,0,3,0
0.0,1985,24,True,2,5,0,2,1
0.0,1985,25,False,11,11,3,8,0
0.0,1985,25,True,3,5,1,4,0
0.0,1985,26,False,3,13,7,3,2
0.0,1985,26,True,3,15,1,8,3
0.0,1985,27,False,2,8,1,1,1
0.0,1985,27,True,1,10,0,2,0
0.0,1985,28,False,8,1,3,1,0
0.0,1985,28,True,2,3,3,1,0
0.0,1985,29,False,7,9,1,5,1
0.0,1985,29,True,7,13,4,5,1
